Date,Vocher No,Cheque no,Type,Debit,Credit,Balance
5/7/2021,2021083,0,NSE,0,8345.21,-1025707.83
5/6/2021,2021082,0,NSE,0,678299.91,-1017362.62
5/6/2021,217483,0,JV,0,4,-339062.71
5/5/2021,2021081,0,NSE,0,54384.1,-339058.71
5/4/2021,2021080,0,NSE,59582.09,0,-284674.61
5/3/2021,2021079,0,NSE,94329.95,0,-344256.7
30/04/2021,2021078,0,NSE,0,2842.18,-438586.65
29/04/2021,2021077,0,NSE,10266.45,0,-435744.47
28/04/2021,2021076,0,NSE,17323.44,0,-446010.92
27/04/2021,216321,0,JV,1054310.16,0,-463334.36
27/04/2021,216319,0,JV,0,1255261.04,-1517644.52
27/04/2021,216219,0,JV,0,9,-262383.48
27/04/2021,2021075,0,NSE,0,884940.7,-262374.48
27/04/2021,216276,0,JV,1255261.04,0,622566.22
26/04/2021,2021074,0,NSE,0,4898.53,-632694.82
26/04/2021,30536088,211162380,REC,0,140000,-627796.29
23/04/2021,2021073,0,NSE,0,10005.92,-487796.29
22/04/2021,2021072,0,NSE,0,16835.02,-477790.37
20/04/2021,2021071,0,NSE,0,3144.93,-460955.35
19/04/2021,2021070,0,NSE,0,13939.23,-457810.42
16/04/2021,2021068,0,NSE,0,24052.46,-443871.19
16/04/2021,2021069,0,NSE,19763.98,0,-419818.73
15/04/2021,2021067,0,NSE,0,10255.33,-439582.71
4/12/2021,2021066,0,NSE,41078.93,0,-429327.38
4/9/2021,2021065,0,NSE,1873.17,0,-470406.31
4/8/2021,2021064,0,NSE,0,2622.87,-472279.48
4/7/2021,2021063,0,NSE,33563.41,0,-469656.61
4/6/2021,2021062,0,NSE,32137.24,0,-503220.02
4/6/2021,2021061,0,NSE,3462.77,0,-535357.26
4/5/2021,2021060,0,NSE,0,22743.32,-538820.03
4/1/2021,29949788,210913299,REC,0,200000,-516076.71
4/1/2021,213877,0,JV,22743.32,0,-316076.71
4/1/2021,213884,0,JV,0,3462.77,-338820.03
